model,turn,u,r,rho,p,q,n,sig,scope
Qwen,2,U5,SEN,0.05268847251474205,0.6602575881725098,0.895478562047997,72,False,per_turn
Qwen,2,U5,AUR,0.09896583932250495,0.40818647744836545,0.7658216370521956,72,False,per_turn
Qwen,2,U5,TD,-0.1070382087472359,0.37082537482149325,0.7416507496429865,72,False,per_turn
Qwen,2,U5,FIX,0.14236820742562317,0.23287720423311167,0.5062547918111123,72,False,per_turn
Qwen,2,U5,RT,0.07160846129613345,0.5500054889288344,0.8871056273045715,72,False,per_turn
Qwen,2,U5,TN,0.09674740117808651,0.4188255484312656,0.7658216370521956,72,False,per_turn
Qwen,2,U5,QOC,-0.20269481956385538,0.08771127919143606,0.30613628269221244,72,False,per_turn
Qwen,2,U5,LM,0.16971345944924127,0.15409209567842103,0.3935026782183102,72,False,per_turn
Qwen,2,U5,ME,,,1.0,72,False,per_turn
Qwen,2,U5,EMP,0.05738646662820898,0.6320716286678792,0.895478562047997,72,False,per_turn
Qwen,3,U1,SEN,0.3672398873558466,0.0015073651626950737,0.016846818546806103,72,True,per_turn
Qwen,3,U1,AUR,0.157806997121637,0.18553152616919844,0.4467903669470759,72,False,per_turn
Qwen,3,U1,TD,-0.15426186499025407,0.1957321729262939,0.4467903669470759,72,False,per_turn
Qwen,3,U1,FIX,0.3148263030176495,0.00707064049288328,0.0441915030805205,72,True,per_turn
Qwen,3,U1,RT,0.28214393736754856,0.016342535521218025,0.09079186400676681,72,False,per_turn
Qwen,3,U1,TN,0.16101248113426117,0.17664432144736736,0.4467903669470759,72,False,per_turn
Qwen,3,U1,QOC,-0.22268518120790848,0.06008636589630534,0.25035985790127224,72,False,per_turn
Qwen,3,U1,LM,0.36636898006795304,0.0015499469900104004,0.016846818546806103,72,True,per_turn
Qwen,3,U1,ME,,,1.0,72,False,per_turn
Qwen,3,U1,EMP,0.3637485835423954,0.0016846818546806103,0.016846818546806103,72,True,per_turn
Qwen,3,U2,SEN,-0.11844180521096476,0.32172644676099366,0.574511512073203,72,False,per_turn
Qwen,3,U2,AUR,0.021936856322385713,0.8548728386847333,1.0,72,False,per_turn
Qwen,3,U2,TD,0.13843216899459013,0.24618254199143433,0.49236508398286866,72,False,per_turn
Qwen,3,U2,FIX,0.05224864381647538,0.6629214721510586,0.8958398272311602,72,False,per_turn
Qwen,3,U2,RT,0.07722035994394898,0.5191004593868662,0.7865158475558579,72,False,per_turn
Qwen,3,U2,TN,0.037805058931658864,0.752545225701367,0.9184410399139894,72,False,per_turn
Qwen,3,U2,QOC,0.005035736519688241,0.966512997126915,1.0,72,False,per_turn
Qwen,3,U2,LM,0.17181927311602435,0.14897095720826242,0.4467903669470759,72,False,per_turn
Qwen,3,U2,ME,,,1.0,72,False,per_turn
Qwen,3,U2,EMP,-0.037714093904416504,0.7531216527294713,0.9184410399139894,72,False,per_turn
Qwen,3,U3,SEN,0.8324444441914699,1.2778757229584251e-19,6.389378614792126e-18,72,True,per_turn
Qwen,3,U3,AUR,0.15174886671770108,0.20320254919761557,0.4467903669470759,72,False,per_turn
Qwen,3,U3,TD,0.0203146038144511,0.8655010921313108,1.0,72,False,per_turn
Qwen,3,U3,FIX,0.23122493936502392,0.05067259632217291,0.23861191873315055,72,False,per_turn
Qwen,3,U3,RT,0.22947644401781617,0.05249462212129312,0.23861191873315055,72,False,per_turn
Qwen,3,U3,TN,0.3479207223697037,0.002747149277957048,0.02015386324953145,72,True,per_turn
Qwen,3,U3,QOC,-0.041674580885649855,0.7281535765773997,0.9184410399139894,72,False,per_turn
Qwen,3,U3,LM,0.1694826024445309,0.1546613825411128,0.4467903669470759,72,False,per_turn
Qwen,3,U3,ME,,,1.0,72,False,per_turn
Qwen,3,U3,EMP,0.34703236611943383,0.0028215408549344028,0.02015386324953145,72,True,per_turn
Qwen,3,U4,SEN,0.12507270025494255,0.29518238169739835,0.5466340401803673,72,False,per_turn
Qwen,3,U4,AUR,-0.16840826742715195,0.15733123746740246,0.4467903669470759,72,False,per_turn
Qwen,3,U4,TD,0.3922794490789617,0.000654303971720434,0.01635759929301085,72,True,per_turn
Qwen,3,U4,FIX,-0.1705513948508339,0.15203885901297026,0.4467903669470759,72,False,per_turn
Qwen,3,U4,RT,-0.12983124890270475,0.2770445046818302,0.5327778936189043,72,False,per_turn
Qwen,3,U4,TN,-0.0721712896397677,0.5468664053760868,0.804215302023657,72,False,per_turn
Qwen,3,U4,QOC,0.1503116192704361,0.20756525051964458,0.4467903669470759,72,False,per_turn
Qwen,3,U4,LM,0.016645031910603177,0.8896275616076599,1.0,72,False,per_turn
Qwen,3,U4,ME,,,1.0,72,False,per_turn
Qwen,3,U4,EMP,-0.06127076409561444,0.6091539867427898,0.8460472038094302,72,False,per_turn
Qwen,3,U5,SEN,0.10005240528178665,0.4030335867178432,0.6500541721255535,72,False,per_turn
Qwen,3,U5,AUR,0.16654556416409952,0.1620410289060164,0.4467903669470759,72,False,per_turn
Qwen,3,U5,TD,0.17426379028181194,0.14318680102420245,0.4467903669470759,72,False,per_turn
Qwen,3,U5,FIX,-0.06354348887511857,0.5959148558978417,0.8460472038094302,72,False,per_turn
Qwen,3,U5,RT,-0.09232663812732324,0.4404958388030201,0.6882747481297189,72,False,per_turn
Qwen,3,U5,TN,0.046121890480486545,0.7004502579283209,0.9184410399139894,72,False,per_turn
Qwen,3,U5,QOC,-0.1052660739370016,0.378844034805067,0.6314067246751116,72,False,per_turn
Qwen,3,U5,LM,0.14808348383762904,0.21445937613459645,0.4467903669470759,72,False,per_turn
Qwen,3,U5,ME,,,1.0,72,False,per_turn
Qwen,3,U5,EMP,-0.11220854711925216,0.34802572034767754,0.6000443454270303,72,False,per_turn
Qwen,4,U1,SEN,0.4408867941805522,0.00010613116264101511,0.0026532790660253776,72,True,per_turn
Qwen,4,U1,AUR,0.14426245020716047,0.2266551439643562,0.5485893716762533,72,False,per_turn
Qwen,4,U1,TD,-0.13892637259974555,0.24448391212136478,0.5485893716762533,72,False,per_turn
Qwen,4,U1,FIX,0.21259420405620283,0.07298791381969497,0.4180682740916511,72,False,per_turn
Qwen,4,U1,RT,0.1143100145182762,0.33901372116515716,0.6519494637791484,72,False,per_turn
Qwen,4,U1,TN,0.1366568669906792,0.25235111097107654,0.5485893716762533,72,False,per_turn
Qwen,4,U1,QOC,-0.11835133503167523,0.32209883233900716,0.6519494637791484,72,False,per_turn
Qwen,4,U1,LM,0.2218805799220019,0.061042009664759395,0.4180682740916511,72,False,per_turn
Qwen,4,U1,ME,,,1.0,72,False,per_turn
Qwen,4,U1,EMP,0.31552615118120864,0.006937876420858943,0.08672345526073678,72,False,per_turn
Qwen,4,U2,SEN,-0.06972707293540747,0.5605612216287008,0.8243547376892659,72,False,per_turn
