model,u,r,rho,p,q,n,sig,scope
Llama,U5,TN,0.04767393006607464,0.20165909857035327,0.2815744355490267,719,False,pooled
Llama,U5,QOC,-0.009988996038629004,0.7891709528043048,0.8052764824533724,719,False,pooled
Llama,U5,LM,0.005186988959938704,0.8895736059997503,0.8895736059997503,719,False,pooled
Llama,U5,ME,-0.09804541413524258,0.008519077439242125,0.019361539634641194,719,False,pooled
Llama,U5,EMP,0.06460357851913642,0.08343637766153106,0.1364141491736132,719,False,pooled
GPT,U1,SEN,0.3663436089026285,2.945482187562154e-24,7.363705468905385e-23,719,True,pooled
GPT,U1,AUR,0.2413440674567173,5.477053571192426e-11,5.477053571192426e-10,719,True,pooled
GPT,U1,TD,-0.061401068850601134,0.09994778181127657,0.14037372719280444,719,False,pooled
GPT,U1,FIX,0.19825521312660177,8.317893893103903e-08,3.4657891221266265e-07,719,False,pooled
GPT,U1,RT,0.2216416305582714,1.8820456261303303e-09,1.1762785163314565e-08,719,True,pooled
GPT,U1,TN,0.08433806034778413,0.023725146757464136,0.04090542544390369,719,False,pooled
GPT,U1,QOC,-0.019593602660270222,0.5999151590974247,0.6382076160610901,719,False,pooled
GPT,U1,LM,0.21634078652160266,4.61622850201506e-09,2.30811425100753e-08,719,True,pooled
GPT,U1,ME,0.061199373203108295,0.1010690835788192,0.14037372719280444,719,False,pooled
GPT,U1,EMP,0.28030562329577136,1.9016151938368603e-14,2.3770189922960755e-13,719,True,pooled
GPT,U2,SEN,0.10731724513960443,0.003964904219554858,0.007929808439109716,719,False,pooled
GPT,U2,AUR,0.05950434562799212,0.11089200588211175,0.1498540620028537,719,False,pooled
GPT,U2,TD,0.11045952868240909,0.003018890031723233,0.006861113708461894,719,False,pooled
GPT,U2,FIX,-0.04436315589625411,0.2348032063132728,0.2810289079999679,719,False,pooled
GPT,U2,RT,0.037245757526184704,0.3186079201196691,0.37047432572054545,719,False,pooled
GPT,U2,TN,0.006430142896263649,0.8633425893161942,0.8809618258328512,719,False,pooled
GPT,U2,QOC,0.04424396630914444,0.236064282719973,0.2810289079999679,719,False,pooled
GPT,U2,LM,0.14824408674390016,6.601930646558419e-05,0.0001833869624044005,719,False,pooled
GPT,U2,ME,-0.0800052119274019,0.03195441194797071,0.05153937410963018,719,False,pooled
GPT,U2,EMP,0.09450302442348711,0.011235500642982087,0.020063394005325152,719,False,pooled
GPT,U3,SEN,0.725002971879477,3.1724470224322605e-118,1.5862235112161302e-116,719,True,pooled
GPT,U3,AUR,0.22001759535642457,2.4834923501414727e-09,1.3797179723008181e-08,719,True,pooled
GPT,U3,TD,0.00041252955772604186,0.9911896233432301,0.9911896233432301,719,False,pooled
GPT,U3,FIX,0.22719090784072704,7.178954009861808e-10,5.9824616748848405e-09,719,True,pooled
GPT,U3,RT,0.2235744224941903,1.349227489773111e-09,9.637339212665078e-09,719,True,pooled
GPT,U3,TN,0.17439141941860645,2.549651033849905e-06,9.80635013019194e-06,719,False,pooled
GPT,U3,QOC,0.16299694579328203,1.120899780030897e-05,4.003213500110347e-05,719,False,pooled
GPT,U3,LM,0.15205185829602216,4.2421757136274316e-05,0.00013256799105085723,719,False,pooled
GPT,U3,ME,-0.030689685939214596,0.41125883909051864,0.45695426565613184,719,False,pooled
GPT,U3,EMP,0.29225669033814033,1.2619043617648902e-15,2.103173936274817e-14,719,True,pooled
GPT,U4,SEN,-0.05847859075252911,0.11719236218744677,0.15420047656242997,719,False,pooled
GPT,U4,AUR,-0.07157309188174482,0.055073626881097994,0.08605254200171561,719,False,pooled
GPT,U4,TD,0.11121191874458201,0.0028252773739912145,0.006726850890455273,719,False,pooled
GPT,U4,FIX,-0.022410412824788773,0.5485418641388875,0.5962411566727038,719,False,pooled
GPT,U4,RT,-0.013163075478200831,0.7245696733802736,0.754760076437785,719,False,pooled
GPT,U4,TN,-0.03655443819229796,0.32767938905035066,0.37236294210267123,719,False,pooled
GPT,U4,QOC,-0.06539899292847681,0.07969727043201097,0.11720186828236907,719,False,pooled
GPT,U4,LM,-0.10964784577200448,0.003241239946895427,0.007046173797598755,719,False,pooled
GPT,U4,ME,-0.0680141382927487,0.06835174094010367,0.10356324384864192,719,False,pooled
GPT,U4,EMP,-0.04920451080164869,0.18754345263110306,0.24044032388602957,719,False,pooled
GPT,U5,SEN,0.20336877136267598,3.770698640465968e-08,1.7139539274845308e-07,719,True,pooled
GPT,U5,AUR,0.08377518350607002,0.024678141970028957,0.04113023661671492,719,False,pooled
GPT,U5,TD,0.11834436516396457,0.0014780294096973113,0.0036950735242432782,719,False,pooled
GPT,U5,FIX,0.04807368135517106,0.19789994750428827,0.24737493438036035,719,False,pooled
GPT,U5,RT,0.09545179125874072,0.010441429627796952,0.019335980792216576,719,False,pooled
GPT,U5,TN,0.10780943765656786,0.003800885908459854,0.007918512309291362,719,False,pooled
GPT,U5,QOC,0.124236492453349,0.0008424874766974095,0.0022170723070984457,719,False,pooled
GPT,U5,LM,0.15148842464627643,4.5321322009781926e-05,0.00013329800591112333,719,False,pooled
GPT,U5,ME,-0.10217519380598786,0.006103729849409874,0.011737942018095911,719,False,pooled
GPT,U5,EMP,0.15752797311405758,2.2040104478496603e-05,7.346701492832201e-05,719,False,pooled
Claude,U1,SEN,0.35504585712032016,8.734690327456535e-23,2.1836725818641336e-21,719,True,pooled
Claude,U1,AUR,0.26483633892357966,5.264611027381059e-13,8.774351712301766e-12,719,True,pooled
Claude,U1,TD,-0.12330058069322679,0.0009226767617753327,0.00256299100493148,719,False,pooled
Claude,U1,FIX,0.22976264431795893,4.5536654956699404e-10,3.2526182111928147e-09,719,True,pooled
Claude,U1,RT,0.2603947448832396,1.3138977591153187e-12,1.6423721988941484e-11,719,True,pooled
Claude,U1,TN,0.11573117305349,0.0018817547058376052,0.004951986067993698,719,False,pooled
Claude,U1,QOC,0.03937665001176932,0.29168871966908316,0.4051232217626155,719,False,pooled
Claude,U1,LM,0.21195238345366815,9.536962980010793e-09,5.960601862506746e-08,719,True,pooled
Claude,U1,ME,0.044255293616553885,0.23594422982329194,0.34697680856366464,719,False,pooled
Claude,U1,EMP,0.2530206356984193,5.775746379875698e-12,4.813121983229748e-11,719,True,pooled
Claude,U2,SEN,0.09072712538020725,0.014951124478881753,0.03114817599767032,719,False,pooled
Claude,U2,AUR,0.040147791770080356,0.2823342889415692,0.403334698487956,719,False,pooled
Claude,U2,TD,0.04523036405580542,0.225770991851666,0.3420772603813121,719,False,pooled
Claude,U2,FIX,0.006940187974697078,0.8526221013332924,0.8788788955154572,719,False,pooled
Claude,U2,RT,0.024880887910275897,0.5053453907323686,0.616274866746791,719,False,pooled
Claude,U2,TN,0.0021098289938535344,0.954963447074367,0.9549634470743669,719,False,pooled
Claude,U2,QOC,0.052458710560740224,0.15997452646856797,0.2583407415793006,719,False,pooled
Claude,U2,LM,0.16608558888398972,7.576027691410306e-06,3.1566782047542944e-05,719,False,pooled
Claude,U2,ME,-0.07687641528019723,0.03931815844094129,0.07561184315565633,719,False,pooled
Claude,U2,EMP,0.05243405127041783,0.16017125977916638,0.2583407415793006,719,False,pooled
Claude,U3,SEN,0.46536789299233416,6.3633629552232905e-40,3.181681477611645e-38,719,True,pooled
Claude,U3,AUR,0.1741902247722589,2.6194211518795866e-06,1.3097105759397933e-05,719,False,pooled
Claude,U3,TD,-0.006527164755510331,0.8613013176051479,0.8788788955154572,719,False,pooled
Claude,U3,FIX,0.15370206406287099,3.490647557192036e-05,0.00010908273616225112,719,False,pooled
Claude,U3,RT,0.16388128881040628,1.0027055430988337e-05,3.856559781149361e-05,719,False,pooled
Claude,U3,TN,0.16254936991839558,1.185666132092589e-05,4.234521900330675e-05,719,False,pooled
Claude,U3,QOC,0.09761290787053087,0.008815883880709894,0.019164964958064988,719,False,pooled
Claude,U3,LM,0.10943596211352527,0.0033016831738452244,0.007861150413917202,719,False,pooled
Claude,U3,ME,-0.016847683479193253,0.6519875817831726,0.7581250950967123,719,False,pooled
Claude,U3,EMP,0.2538002519492774,4.949760266773798e-12,4.813121983229748e-11,719,True,pooled
Claude,U4,SEN,-0.012901800814913648,0.7298210406974137,0.8109122674415707,719,False,pooled
Claude,U4,AUR,-0.07038770769269125,0.05923505948573804,0.10969455460321859,719,False,pooled
Claude,U4,TD,0.16956935370689,4.828573629061632e-06,2.194806195028015e-05,719,False,pooled
Claude,U4,FIX,0.037690783846172464,0.3128559671665758,0.41165258837707347,719,False,pooled
Claude,U4,RT,0.03265008122561032,0.38201217208653715,0.48975919498273995,719,False,pooled
Claude,U4,TN,-0.038658750055152805,0.30058210962421217,0.40619204003271914,719,False,pooled
Claude,U4,QOC,0.01565023412202072,0.6752573323748804,0.7673378776987277,719,False,pooled
Claude,U4,LM,-0.07879191056864882,0.034656534259184406,0.06931306851836881,719,False,pooled
Claude,U4,ME,-0.057329931432098406,0.12457677585387394,0.21478754457564472,719,False,pooled
Claude,U4,EMP,-0.02815567759796166,0.45096503973949864,0.5637062996743734,719,False,pooled
Claude,U5,SEN,0.1589163371720633,1.8603020691265576e-05,6.201006897088526e-05,719,False,pooled
Claude,U5,AUR,0.011631359984955346,0.7555321251221446,0.8212305707849398,719,False,pooled
Claude,U5,TD,0.04978548574068307,0.18238056543218492,0.2849696334877889,719,False,pooled
Claude,U5,FIX,0.010633498277744109,0.7759196297355178,0.8254464146122529,719,False,pooled
Claude,U5,RT,0.019069252495335712,0.6097130988690145,0.7258489272250173,719,False,pooled
Claude,U5,TN,0.11478609013178388,0.0020510843177650668,0.0051277107944126665,719,False,pooled
Claude,U5,QOC,0.10515285101024927,0.004764940043980389,0.01082940919086452,719,False,pooled
Claude,U5,LM,0.17839902033149913,1.479622687124899e-06,8.220126039582773e-06,719,False,pooled
Claude,U5,ME,-0.06350720244267151,0.08882130856520998,0.1586094795807321,719,False,pooled
Claude,U5,EMP,0.1276885850618214,0.0005992257217398287,0.0017624285933524374,719,False,pooled
Gemini,U1,SEN,0.4000190028960899,5.249761517044166e-29,1.3124403792610414e-27,719,True,pooled
Gemini,U1,AUR,0.2770077465139667,3.929548861719253e-14,3.2746240514327104e-13,719,True,pooled
Gemini,U1,TD,-0.057351145480906036,0.1244371889573952,0.2145468775127503,719,False,pooled
Gemini,U1,FIX,0.22171755278404995,1.85770700279842e-09,8.444122739992818e-09,719,True,pooled
Gemini,U1,RT,0.2201024657425472,2.447891728151523e-09,1.0199548867298012e-08,719,True,pooled
Gemini,U1,TN,0.11488530858771018,0.002032673733705554,0.004839699365965604,719,False,pooled
Gemini,U1,QOC,0.017523447998086618,0.6390015333300628,0.7261381060568896,719,False,pooled
Gemini,U1,LM,0.26813115721214104,2.641709166241824e-13,1.88693511874416e-12,719,True,pooled
