model,U,R,n,rho,p,q,sig
Claude,U2,FIX,100,0.09255665028287516,0.3597204646818196,0.5995341078030327,False
Claude,U2,RT,98,0.11387870178764749,0.26420226619368525,0.5080812811417024,False
Claude,U2,TN,100,0.14660903299735845,0.14552108415762216,0.3464787718038623,False
Claude,U2,QOC,100,0.1415958707216343,0.15994764455614893,0.36351737399124756,False
Claude,U2,LM,100,0.26260534053903944,0.008302011060425019,0.05459300317369096,False
Claude,U2,ME,100,-0.06905041139206818,0.4948354941066557,0.7220666641711502,False
Claude,U2,EMP,100,0.25155031209064443,0.011582598454088013,0.05459300317369096,False
Claude,U3,SEN,100,0.579242636746143,2.7270166211106093e-10,1.3635083105553046e-08,True
Claude,U3,AUR,100,0.1029839839756125,0.3079152702096156,0.5498486968028851,False
Claude,U3,TD,100,0.19962428262062906,0.04645503887784936,0.13663246728779224,False
Claude,U3,FIX,100,0.1196657572377258,0.23566994067874644,0.47719662870695884,False
Claude,U3,RT,98,0.12015603762652191,0.23859831435347942,0.47719662870695884,False
Claude,U3,TN,100,0.3271858829318279,0.0008915953806275157,0.011144942257843947,True
Claude,U3,QOC,100,0.0787381161148653,0.43616125959820995,0.6815019681222031,False
Claude,U3,LM,100,0.3084654304971442,0.0017939216021004717,0.017939216021004716,True
Claude,U3,ME,100,-0.06736568097271474,0.5054466649198052,0.7220666641711502,False
Claude,U3,EMP,100,0.36794453396697874,0.0001657493901719973,0.004143734754299933,True
Claude,U4,SEN,100,0.15135356252254367,0.1327924213171211,0.33198105329280275,False
Claude,U4,AUR,100,-0.058464011771441525,0.5634097600588415,0.7413286316563703,False
Claude,U4,TD,100,0.15905156566805073,0.11396990863649942,0.3165830795458317,False
Claude,U4,FIX,100,0.21779126638661547,0.029500597037630954,0.10247826058976156,False
Claude,U4,RT,98,0.15518888086258806,0.12704967753431798,0.33198105329280275,False
Claude,U4,TN,100,0.03245496195697513,0.7485486379954327,0.8506234522675371,False
Claude,U4,QOC,100,0.06105009591298918,0.5462501529500412,0.7413286316563703,False
Claude,U4,LM,100,0.09776161258746811,0.3332214899758196,0.5745198103031371,False
Claude,U4,ME,100,-0.0502518907629606,0.6195311908222048,0.7744139885277559,False
Claude,U4,EMP,100,-0.019358662391261532,0.848391889819984,0.902544563638281,False
Claude,U5,SEN,100,0.23355553244597954,0.019354397293196848,0.08064332205498687,False
Claude,U5,AUR,100,-0.008778366951946922,0.930924547034584,0.930924547034584,False
Claude,U5,TD,100,0.21619397182762576,0.030743478176928466,0.10247826058976156,False
Claude,U5,FIX,100,0.20687766759062975,0.03890743211233026,0.12158572535103207,False
Claude,U5,RT,98,0.2529067705756835,0.011987440675636665,0.05459300317369096,False
Claude,U5,TN,100,0.027665052054455106,0.7846805465128701,0.871867273903189,False
Claude,U5,QOC,100,-0.0677797317081205,0.5028279048235375,0.7220666641711502,False
Claude,U5,LM,100,0.2503182522254014,0.012010460698212011,0.05459300317369096,False
Claude,U5,ME,100,0.043863446330651264,0.6647762066244225,0.7914002459814553,False
Claude,U5,EMP,100,0.12723509947588352,0.2071329411253806,0.4502890024464796,False
Gemini,U1,SEN,100,0.14367995715009987,0.15382600563412102,0.4326356408459654,False
Gemini,U1,AUR,100,-0.0450268343410736,0.6564403866851465,0.8418431879593012,False
Gemini,U1,TD,100,-0.01715612559230193,0.8654688427115999,0.9715842058262674,False
Gemini,U1,FIX,100,-0.09236617795996918,0.36071425545375824,0.6763392289757967,False
Gemini,U1,RT,95,-0.1647437325552431,0.11062555645118598,0.4088053031364173,False
Gemini,U1,TN,100,-0.07831904410149147,0.4386147428137226,0.6942985777556547,False
Gemini,U1,QOC,100,0.04152091279898826,0.6816842687211617,0.8418431879593012,False
Gemini,U1,LM,100,0.4443533745652724,3.6346090429350895e-06,8.177870346603952e-05,True
Gemini,U1,ME,100,,,,
Gemini,U1,EMP,100,0.06878873793312233,0.4964759014540703,0.7206908246913923,False
Gemini,U2,SEN,100,0.15825422599223074,0.11581773385106198,0.4088053031364173,False
Gemini,U2,AUR,100,0.004466654267251631,0.9648205580778775,0.9715842058262674,False
Gemini,U2,TD,100,-0.040077503586255135,0.6921821767665366,0.8418431879593012,False
Gemini,U2,FIX,100,0.20164133875171134,0.044243481983585034,0.2844223841801895,False
Gemini,U2,RT,95,0.1579598151064452,0.12630521649904813,0.4088053031364173,False
Gemini,U2,TN,100,0.003607488846820351,0.9715842058262674,0.9715842058262674,False
Gemini,U2,QOC,100,0.004008549326814308,0.9684266392049752,0.9715842058262674,False
Gemini,U2,LM,100,0.1521568915420333,0.13072396426280716,0.4088053031364173,False
Gemini,U2,ME,100,,,,
Gemini,U2,EMP,100,0.11794333519003863,0.24252888352538285,0.5360109996395651,False
Gemini,U3,SEN,100,0.47418850526911,6.239649888348715e-07,2.8078424497569218e-05,True
Gemini,U3,AUR,100,0.09545990432017616,0.3447828901210386,0.674575219802032,False
Gemini,U3,TD,100,-0.010810968751610263,0.9149844692436975,0.9715842058262674,False
Gemini,U3,FIX,100,0.21727443382219847,0.029898011209196145,0.2690821008827653,False
Gemini,U3,RT,95,0.07660809690664333,0.46058498886324506,0.6942985777556547,False
Gemini,U3,TN,100,0.0773000293483726,0.44461309635170976,0.6942985777556547,False
Gemini,U3,QOC,100,-0.006414565073291469,0.9494959047615186,0.9715842058262674,False
Gemini,U3,LM,100,0.3232687640360992,0.0010358770911695898,0.015538156367543847,True
Gemini,U3,ME,100,,,,
Gemini,U3,EMP,100,0.22124899855711283,0.02695522543244877,0.2690821008827653,False
